Topic,Count,Name,Keywords
-1,1276,-1_COVID-19 Vaccines and Controversies,"['vacuna covid', 'vacunas covid', 'vacunación', 'vacunas', 'efectos adversos', 'vacuna', 'dosis vacuna', 'pandemia', 'farmacéuticas', 'pfizer']"
0,332,0_efectos secundarios de vacunación,"['vacuna covid', 'vacuna hoy', 'hoy vacuna', 'puse vacuna', 'vacuna 20', 'ponerme vacuna', 'pusieron vacuna', 'vacuna influenza', 'vacuna', 'vacuna pusieron']"
1,200,1_Vaccine Hesitancy and Political Ideologies,"['anti vacunas', 'ideología', 'vacunas verdad', 'antivacunas', 'campaña negativa', 'anti vacuna', 'vacuna covid', 'sionista', 'vacunas', 'verdad']"
2,166,2_Safety and efficacy concerns regarding measles vaccine for children,"['vacuna sarampión', 'vacuna srp', 'vacunas', 'sarampión rubéola', 'sarampión', 'vacunación', 'vacuna virus', 'vacuna', 'vacunar', 'niños']"
3,107,3_COVID-19 Vaccine-Related Deaths and Adverse Effects,"['después vacuna', 'vacuna covid', 'vacunas covid', 'causa vacuna', 'exceso muertes', 'exceso mortalidad', 'vacunación', 'vacunados', 'muerte', 'muertes']"
4,106,4_Updated Covid-19 Vaccination for New Variants,"['vacuna actualizada', 'nueva vacuna', 'nacional vacunación', 'vacunación aprueba', 'comisión vacunación', 'actualizada covid', 'vacunación', 'esquema vacunación', 'vacunas', 'vacuna']"
5,93,5_Efficacy and Controversies of First-Generation COVID-19 Vaccines in Mexico and Political Criticisms,"['vacuna patria', 'vacuna actualizada', 'vacuna mexicana', 'vacunas actualizadas', 'vacunas', 'actualizadas covid', 'vacuna cubana', 'vacuna', 'mexicana patria', 'patria covid']"
6,78,6_COVID-19 Vaccine Effects on Diabetes and Detoxification,"['vacunas covid', 'vacunación covid', 'vacuna covid', 'después vacunación', 'vacunas', 'vacunación', 'post vacuna', 'efectos adversos', 'pacientes diabetes', 'vacuna']"
7,61,7_COVID-19 Vaccines and Immunity Debate,"['decir vacuna', 'funciona vacuna', 'ninguna vacuna', 'vacunas', 'vacuna', 'inmunizado', 'vacunados', 'vacunado', 'hace inmune', 'inmunidad']"
8,57,8_Controversies and Strategies in Dengue Vaccination and Mosquito-Borne Diseases Control,"['dengue vacuna', 'dengue obligatoria', 'vacuna dengue', 'dengue ser', 'salas vacuna', 'repelente vacuna', 'epidemia dengue', 'dengue sucederá', 'dengue va', 'doblegar epidemia']"
9,55,9_Pfizer Vaccine Adverse Effects and Government Contracts,"['pfizer revelan', 'pfizer reconoce', 'efectos adversos', 'pfizer obligado', 'vacuna pfizer', 'pfizer cada', 'efectos', 'pfizer', 'contrato pfizer', 'reconocen efectos']"
10,54,10_HPV Vaccination and Cervical Health Controversies,"['vacuna gardasil', 'vacuna vph', 'gardasil vph', 'vacuna papiloma', 'gardasil', 'vacuna virus', 'virus papiloma', 'humano vph', 'vacuna', 'vacunadas contrajeran']"
11,54,11_AstraZeneca Retira Vacuna COVID-19 por Efectos Secundarios,"['astrazeneca retira', 'astrazeneca dejará', 'vacuna astrazeneca', 'hora astrazeneca', 'astrazeneca covid', 'farmacéutica astrazeneca', 'astrazeneca', 'vacuna covid', 'retirar vacuna', 'retira vacuna']"
12,45,12_Potential Health Impacts and Contamination Issues of mRNA COVID-19 Vaccines,"['vacunas genéticas', 'vacuna covid', 'vacunas arnm', 'vacuna arnm', 'genotoxicidad', 'arnm vacuna', 'vacuna pfizer', 'vacunas', 'contaminación adn', 'adn vacuna']"
13,43,13_COVID-19 Vaccine and Population Control Conspiracy,"['muertes globales', 'humanidad matand0', 'millones muertes', 'millones personas', 'pandemia', 'humanidad bajo', 'fenómeno muerte', 'biológica crimen', 'vacuna', 'humanidad']"
14,43,14_AstraZeneca COVID-19 Vaccine and Risk of Thrombosis,"['astrazeneca admite', 'astrazeneca admitió', 'vacuna astrazeneca', 'astrazeneca aceptó', 'trombosis vacuna', 'riesgo trombosis', 'trombosis asociada', 'astrazeneca', 'provocar trombosis', 'causar trombosis']"
15,38,15_Derechos y corrupción en América Latina,"['maduro', 'corrupción', 'corruptos', 'venezuela', 'presidente', 'pagar vacuna', 'muerto retomó', 'gustavo petro', 'colombianos', 'cobrando vacuna']"
16,38,16_Bill Gates' Investment in Pfizer and Vaccine Controversy,"['pfizer pandemia', 'gates compró', 'pandemia vendió', 'gates engaño', 'millones bill', 'millones dólares', 'acciones pfizer', 'vacuna gates', 'bill gates', 'millones inmediatamente']"
17,37,17_adopción y cuidados veterinarios para cachorros,"['adoptarla', 'canina', 'busca hogar', 'perros', 'desparasitada', 'veterinaria', 'perra', 'vacuna desparasitado', 'pulgas', 'sigan vacunación']"
18,36,18_Vacuna rusa prometedora contra el cáncer en pruebas clínicas para 2025,"['vacuna rusa', 'oncológicas vacuna', 'vacuna cáncer', 'anuncia vacuna', 'rusa cáncer', 'vacuna terapéutica', 'cáncer funciona', 'científicos rusos', 'vacuna mundial', 'vacuna']"
19,34,19_Private Sector Authorized to Distribute Updated Covid-19 Vaccine in Costa Rica,"['costa rica', 'actualizada covid', 'vacuna covid', 'costarica mientras', 'costarica co', 'costarica', 'vacunas actualizadas', 'vacuna actualizada', 'vacuna covid19', 'aquí costarica']"
20,34,20_Legal Challenges to Pfizer's COVID-19 Vaccine Efficacy and Safety,"['demandando pfizer', 'pfizer engañar', 'demanda pfizer', 'pfizer hizo', 'vacuna covid', 'pfizer', 'público vacuna', 'vacunas covid', 'promoción vacunas', 'ilegalmente vacuna']"
21,33,21_Reactions to News with Mix of Amusement and Disgust,"['excelente noticia', 'noticia jajaja', 'noticia increíble', 'noticia', 'ahora excelente', 'excelente', 'noticia veo', 'canallas excelente', 'sorpresa ahora', 'impresionante fin']"
22,27,22_Obligatoriedad de vacunas COVID-19 y consentimiento parental,"['obligatoriedad vacuna', 'obligatorio vacunas', 'si vacuna', 'vacuna niños', 'mandato vacuna', 'vacuna covid', 'vacunas', 'obligatorio consentimiento', 'poner vacuna', 'vacuna']"
23,26,23_Requisitos de vacunación contra la fiebre amarilla para viajar,"['requieren vacuna', 'fiebre amarilla', 'piden vacuna', 'vacuna fiebre', 'vacuna', 'josebirrero vacuna', 'fiebre', 'planea viajar', 'exigen carnet', 'infografía planea']"
24,24,24_Costa Rican healthcare and political discourse,"['ccssdecostarica msaludcr', 'defensoriacr ccssdecostarica', 'msaludcr ccssdecostarica', 'ccssdecostarica asambleacrc', 'ccssdecostarica', 'rodrigochavesr ccssdecostarica', 'malparidos ccssdecostarica', 'ccssdecostarica roscassol', 'msaludcr rodrigochavesr', 'risaaaa ccssdecostarica']"
25,23,25_Jonas Salk and the Polio Vaccine in Jewish History,"['jonas salk', 'salk creador', 'vacuna salk', 'vacuna poliomielitis', 'primera vacuna', 'viejos antisemitas', 'edward salk', 'salk', 'jewish onthisday', 'antisemitas seguro']"
26,23,26_Ganado y vacunas ARNm,"['carne vacuna', 'ganadero estadounidense', 'mil vacas', 'consumo carne', 'ganadero', 'vacuna argentina', 'arnm ganado', 'comer carne', 'ganado', 'vacas']"
27,21,27_Desinformación y teorías de conspiración sobre Tedros y la gripe aviar H5N1,"['h5n1 tedros', 'dice vacunó', 'tomó vacuna', 'vacuna agente', 'vacuna existe', 'vacunó', 'plandemia h5n1', 'vacuna siquiera', 'vacuna', 'suministrar vacuna']"
28,21,28_Influenza Vaccine Availability for Population Over Six Months,"['influenza vacuna', 'vacuna influenza', 'riesgo vacuna', 'influenza estacional', 'vacunación', 'protegidas influenza', 'vacuna', 'vacuna sábado', 'colocando vacuna', 'influenza']"
29,19,29_Claims of Graphene Oxide in Vaccines by Lorena Diblasi,"['grafeno vacunas', 'grafeno vacuna', 'vacuna covid', 'análisis vacuna', 'vacunas covid', 'supuesta vacuna', 'vacuna gripe', 'vacuna dengue', 'qdenga vacuna', 'vacunas']"
30,18,30_nuevas vacunas aprobadas (chikungunya y chagas),"['vacuna chikungunya', 'vacuna chikunguña', 'vacuna chagas', 'primera vacuna', 'cruzivax vacuna', 'vacuna aplicación', 'hq6zzalyzv vacuna', 'l6vwdl6mky vacuna', 'vacuna', 'virus chikungunya']"
31,18,31_Government mismanagement and corruption during the pandemic in Argentina,"['fulminaron cuarentena', 'gobierno mierda', 'vacunatorio vip', 'toda argentina', 'cfkargentina', 'llevó dólar', 'vacunatorio', 'encerraron', 'llegaron prometieron', 'cfkargentina starbucksar']"
32,18,32_Free KRLS Movement and Twitter Mentions,"['charlie_311201', 'charlie_311201 co', '1bfeav3ydp co', '1bfeav3ydp 95mpq', '1bfeav3ydp', 'ups charlie_311201', '2ijgukockz alanamador64178', 'ow5ix8pv6n co', 'alanamador64178 co', 'co aa8dwewrps']"
33,17,33_miocarditis y la vacuna COVID-19,"['admite vacuna', 'producir miocarditis', 'miocarditis ciencia', 'miocarditis jóvenes', 'pfizer admite', 'vacuna covid', 'miocarditis quedado', 'miocarditis aumenta', 'covid puede', 'increible fauci']"
34,17,34_Nobel Prize in Medicine 2023 for mRNA COVID-19 vaccine,"['nobel medicina', 'nobel fisiología', 'vacuna covid', 'medicina vacuna', 'fundación nobel', 'crear vacuna', 'weissman vacuna', 'jghnbk2cwb vacuna', 'medicina científicos', 'medicina katalin']"
35,17,35_Potential Cancer Risks Associated with COVID-19 Vaccination and Immune Response Dynamics,"['turbocáncer inducido', 'mortalidad cáncer', 'desarrollo cánceres', 'cáncer después', 'tumores inmunoterapia', 'vacuna covid', 'turbocáncer', 'cánceres', 'vacunación masiva', 'tipos cánceres']"
36,17,36_nueva vacuna contra la malaria aprobada por la OMS,"['vacuna malaria', 'malaria aprobada', 'malaria salvado', 'malaria recibe', 'malaria salvó', 'vacuna antimalaria', 'nueva vacuna', 'malaria aquí', 'malaria mujeres', 'malaria barata']"
37,16,37_Vaccine Safety and Informed Consent in Japan,"['covid japón', 'salud japón', 'noticiero japón', 'pfizer muertes', 'japón co', 'japón admite', 'gobierno japón', 'relacionados vacuna', 'vacuna covid', '2076 fallecimientos']"
38,16,38_CCSS COVID-19 Vaccine Doses Management,"['vacuna covid', 'nueva vacuna', 'vacuna actualizada', 'actualizada covid', 'distribuye vacuna', 'nacional vacuna', 'dónde vacunan', 'dosis vacuna', '000 dosis', 'sza8mupigg vacuna']"
39,16,39_Internet Explorer Controversy,"['bro', 'jail bro', 'fucker jail', 'bro internet', 'fucker', 'jail', 'internet explorer', 'old news', 'internet', 'time fucker']"
40,14,40_Saprissa Players' Travel Requirements for Honduras,"['saprissa vacunados', 'visa hondureña', 'saprissa vacuna', 'viaje honduras', 'viajar honduras', 'saprissa debe', 'saprissa necesitan', 'ir honduras', 'saprissa', 'jugadores saprissa']"
41,13,41_Pfizer employees received different vaccine batch reports,"['empleados pfizer', 'trabajadores pfizer', 'vacunó empleados', 'trabajador pfizer', 'pfizer pusieron', 'pfizer admite', 'inoculó empleados', 'pusieron vacuna', 'empleados farmacéutica', 'urgente pfizer']"
42,13,42_Astrazeneca ordered to disclose Covid-19 vaccine thrombosis data in Germany,"['astrazeneca obligada', 'astrazeneca revelar', 'obliga astrazeneca', 'astrazeneca casos', 'astrazeneca', 'justicia alemana', 'alemania efectos', 'datos trombosis', 'después vacuna', 'vacuna covid']"
43,13,43_Vacunación infantil y déficit de presupuesto en México,"['niños vacuna', 'mexicano vacunación', 'cobertura vacunación', 'falta vacuna', 'solamente programadevacunación', 'millones niños', 'ninguna vacuna', 'vacunación', 'mil niños', 'sarampión falta']"
